[STDERR] 2025/07/08 10:34:02 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:03 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:04 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:05 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:06 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:07 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:08 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:09 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:10 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:11 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:12 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:13 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:14 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:15 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:16 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:17 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:18 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:19 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:20 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:21 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:34:22 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
